Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Low & middle income,LMY,585519494870.195
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Low income,LIC,11224597882.3454
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Lower middle income,LMC,122542184432.265
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Middle income,MIC,571668529069.536
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,North America,NAC,571277113850.953
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Other small states,OSS,33235833848.6572
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Pacific island small states,PSS,338914236.751566
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Pre-demographic dividend,PRE,28122695877.0693
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Small states,SST,35576514635.6599
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,South Asia,SAS,47876623186.1024
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,South Asia (IDA & IBRD),TSA,47876623186.1024
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Sub-Saharan Africa,SSF,45236219354.9951
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Sub-Saharan Africa (excluding high income),SSA,44291296695.0759
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Sub-Saharan Africa (IDA & IBRD countries),TSS,45236219354.9951
